Ciqual  AGB,Ciqual  code,Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Ingredients,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux
15201,15201,"fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"Pâte d'amande, préemballée","Almond paste or marzipan, prepacked",Sucre blanc,0.043275156,0.19535947,1.4837638e-8,0.011848202,0.00077284174,4.4099121e-8,2.2358892e-9,1.5367987e-10,0.0063457163,0.000052692957,0.0020286116,0.027065556,3.10975884,12.019174,0.83321121,1.9789957,0.0000016307399
15201,15201,"fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"Pâte d'amande, préemballée","Almond paste or marzipan, prepacked",Autres étapes,0.07054850000000001,0.57098089,5.2511555e-8,0.56243814,0.0014998204,2.7075298600000002e-8,6.2834479000000004e-9,2.4031649e-10,0.0025477444,0.00011445736900000001,0.00121250679,0.0071048851,2.00611958,5.4298611999999995,0.35015482200000003,19.8041879,0.00000298978024
11167,11167,aides culinaires et ingrédients divers,sauces,"Sauce américaine, préemballée","American-style sauce, prepacked",Beurre,0.19766349,2.1059746,4.814616e-8,0.14693003,0.0034325322,1.6135788e-7,2.7618213e-8,1.1684198e-9,0.023897671,0.00023108923,0.0077177778,0.10389365,23.5193651,124.70306,0.68316756,6.1270132,0.0000053186358
11167,11167,aides culinaires et ingrédients divers,sauces,"Sauce américaine, préemballée","American-style sauce, prepacked",Huile de poisson,0.08346137599999999,0.69276835,1.0313471e-7,0.029378973,0.0063874025,7.97005e-8,4.2925575e-9,4.5336244e-10,0.0094381724,0.000082458125,0.0022275724,0.02380637,2.12241453,2.2914398,0.3547445,9.838199,0.0000055022194
11167,11167,aides culinaires et ingrédients divers,sauces,"Sauce américaine, préemballée","American-style sauce, prepacked",Farine de blé,0.023095638,0.16477387,1.0546506e-8,0.017036211,0.00050093506,1.6609462e-8,1.0374693e-9,2.6357584e-10,0.0025645449,0.00003790416,0.001725831,0.011074015,3.30193008,22.433721,0.074783725,1.1704886,7.7757012e-7
11167,11167,aides culinaires et ingrédients divers,sauces,"Sauce américaine, préemballée","American-style sauce, prepacked",Autres étapes,0.077969398,0.5752558,1.3624722e-7,0.68620044,0.0015301105,2.78836166e-8,7.608585e-9,3.0841341e-10,0.0026803284,0.000097001062,0.00130330957,0.0080016987,5.7397493200000005,4.9122432,0.31385829200000004,21.044037,0.00000518085214
26000,26000,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois, filets à l'huile, semi-conserve, égoutté","Anchovy, fillets, in oil, semi-preserved, drained",Anchois,0.11233159999999999,0.72658695,1.6388001e-7,0.044674332,0.01141488,1.2122715e-7,4.7145933e-9,4.2475821e-10,0.015988462,0.000049588597,0.0039661219,0.043329869,3.2591444000000003,3.2854296,0.033263989,9.8026881,0.0000088728187
26000,26000,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois, filets à l'huile, semi-conserve, égoutté","Anchovy, fillets, in oil, semi-preserved, drained",Sel,0.021589861000000002,0.14076375,9.3644468e-9,0.015609198,0.00056105588,1.0084302e-8,2.7542632e-9,1.8609202e-10,0.0010404822,0.000074136566,0.00023877785,0.0020840702,1.10787959,1.0013953,0.078353693,1.7170573,0.0000068830711
26000,26000,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois, filets à l'huile, semi-conserve, égoutté","Anchovy, fillets, in oil, semi-preserved, drained",Huile de tournesol,0.035830514,0.23738729,2.1691134e-8,0.017363457,0.00089682894,1.5349962e-8,4.1711243e-9,8.7020961e-10,0.0021226486,0.0001376808,0.0030137781,0.0099311837,9.3000194,57.637506,0.12102958,1.5958949,7.2468385e-7
26000,26000,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois, filets à l'huile, semi-conserve, égoutté","Anchovy, fillets, in oil, semi-preserved, drained",Autres étapes,0.074127993,0.65714429,6.9021276e-8,0.60296964,0.00172665871,2.98334787e-8,6.050461099999999e-9,2.4459707e-10,0.0027223233999999997,0.000057336657,0.00124721134,0.007795871899999999,2.27116716,4.3512327,0.24554210999999998,20.913614600000002,0.00000298770489
